FID,Id,Status,PIN,X,Y,Area,Prev_Area,Pct_Change,Comment,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
12901,,Existing,095-10-09-12.43-2500,384749.59,1484141.99,2827.24,0,0, ,231.752242977,2827.24164778,439.52734375,91.3882046956046
12902,,Existing,095-10-09-12.43-2100,384782.36,1483971.29,3203.87,0,0, ,248.220812647,3203.87658285,498.06640625,97.8745269223735
12903,,Existing,095-10-09-12.43-200,384814.72,1484919.06,154.39,0,0, ,51.6403166577,154.392618583,24.00390625,20.3505016062799
12904,,Existing,095-10-09-12.43-201,384744.71,1485035.3,3652.61,0,0, ,287.62088042,3652.60722844,567.875,113.448002986874
12905,,Existing,095-10-09-12.43-1100,384726.38,1484644.78,2440.36,0,0, ,231.837198222,2440.36456866,379.39453125,91.4162833167218
12906,,Existing,095-10-09-12.43-100,384922.46,1484712.27,1520.65,0,0, ,161.690657227,1520.64711769,236.4140625,63.7518586138442
12907,,Existing,095-10-09-12.43-100,384942.58,1484782.67,665.34,0,0, ,103.198706754,665.334372306,103.4375,40.6892498857086
12908,,Unknown,095-10-09-12.42-4300,384933.99,1485445.97,190.56,0,0, ,59.5063124989,190.55734004,29.625,23.4643557208429
12909,,PossiblyChanged,095-10-09-12.42-4200,384867.47,1485527.35,3270.11,0,0, ,257.954623655,3270.12956788,508.42578125,101.745597679155
12910,,Existing,095-10-09-12.42-1700,384886.31,1486125.86,2630.89,0,0, ,247.782312825,2630.88948448,409.0625,97.7236306795958
12911,,Existing,095-10-09-12.42-4600,384743.17,1485691.54,259.18,0,0, ,67.8163027741,259.181886651,40.30078125,26.7237032228666
12912,,Existing,095-10-09-12.42-4500,384715.3,1485634.4,2575.09,0,0, ,224.13159956,2575.09332471,400.375,88.4157251424342
12913,,Existing,095-10-09-12.42-4400,384708.62,1485547.29,2711.57,0,0, ,241.778224743,2711.56290353,421.58984375,95.3490632076452
12914,,Existing,095-10-09-12.42-4200,384942.61,1485467.03,232.27,0,0, ,61.0897090854,232.271793061,36.11328125,24.0848692896296
12915,,Existing,095-10-09-12.42-4100,384855.12,1485613.1,1763.75,0,0, ,186.528938031,1763.7574321,274.22265625,73.5809901571276
12916,,Existing,095-10-09-12.42-4000,384871.73,1485699.36,3441.7,0,0, ,283.026672191,3441.70251333,535.109375,111.596490988025
12917,,Existing,095-10-09-12.42-3900,384943.13,1485776.86,395.15,0,0, ,79.6135058984,395.149961807,61.43359375,31.3893018595775
12918,,Existing,095-10-09-12.42-3800,384713.07,1485902.76,2149.43,0,0, ,210.994864043,2149.4323071,334.203125,83.1997648483191
12919,,Existing,095-10-09-12.42-1900,384704.88,1486036.16,257.6,0,0, ,64.2131538071,257.599366734,40.0546875,25.3191837077366
12920,,Existing,095-10-09-12.42-1800,384889.55,1486028.21,2847.92,0,0, ,253.285452285,2847.91937142,442.8046875,99.8732753732432
12921,,Existing,095-10-09-12.42-3900,384888.17,1485906.25,3276.31,0,0, ,295.274774402,3276.31250086,509.40625,116.490220146156
12922,,Existing,095-10-09-12.42-1600,384879.5,1486241.46,2587.75,0,0, ,237.199415134,2587.76263208,402.3671875,93.5835438409973
12923,,Existing,095-10-09-12.14-1201,385072.33,1486573.95,2939.99,0,0, ,253.361921367,2939.9833931,457.14453125,99.894184243445
12924,,Existing,095-10-09-12.14-300,385449.88,1486747.5,2643.3,0,0, ,252.515803557,2643.32280477,411.01171875,99.6078677546262
12925,,Changed,095-10-09-12.14-2005,385171.59,1487025.12,3002.96,2627.91,14.27, ,265.710777712,3002.95410314,466.94921875,104.763281170278
12926,,Existing,095-10-09-12.14-2002,384893.52,1487037.05,6257.04,0,0, ,405.968231954,6257.02863814,972.93359375,160.042838268317
12927,,New,095-10-09-12.14-2000,385270.14,1486863.67,2255.08,0,0, ,211.004002534,2255.07289629,350.65625,83.2047050193056
12928,,Existing,095-10-09-12.14-2007,385372.67,1487046.73,2603.25,0,0, ,220.292511783,2088.7250535,324.7890625,86.8814060632522
12929,,Changed,095-10-09-12.14-2006,385265.74,1487027.68,2234.66,1857.07,20.33, ,210.653097989,1835.91550349,285.47265625,83.0367976995827
12930,,Existing,095-10-09-12.42-1600,384939.41,1486268.31,167.75,0,0, ,53.6623534861,167.745971066,26.0859375,21.1489185461371
12931,,Existing,095-10-09-12.42-1500,384936.68,1486325.84,343.26,0,0, ,76.0682617659,343.270791655,53.37109375,29.9815263780218
12932,,Existing,095-10-09-12.42-1500,384876.64,1486348.03,2203.34,0,0, ,224.787177079,2203.33443298,342.5859375,88.661484899152
12933,,Existing,095-10-09-12.42-1400,384884.5,1486455.08,2677.97,0,0, ,230.172544278,2677.97645675,416.39453125,90.7816590440089
12934,,Existing,095-10-09-12.14-1000,384874.23,1486563.51,2465.36,0,0, ,226.61705431,2465.36126301,383.328125,89.3946151781933
12935,,Existing,095-10-09-12.14-1200,385174.47,1486584.18,2674.68,0,0, ,240.962228435,2674.68956869,415.87890625,94.9586166411924
12936,,Existing,095-10-09-12.14-1400,385363.35,1486570.43,2537.18,0,0, ,234.614517279,2537.17093125,394.50390625,92.4873087041864
12937,,Existing,095-10-09-12.14-400,385447.72,1486850.71,2564.49,0,0, ,244.459913335,2564.4815457,398.74609375,96.4538811124118
12938,,Existing,095-10-09-12.14-2004,385069.91,1487026.72,3324.4,0,0, ,261.85901157,3324.39601976,516.9296875,103.239739970888
12939,,Existing,095-10-09-12.14-2009,384973.84,1486860.55,3222.15,0,0, ,246.613469017,3222.13245017,501.01171875,97.2351240160444
12940,,Existing,095-10-09-12.14-2010,385070.93,1486864.07,3202.34,0,0, ,259.139020344,3202.32735032,497.94140625,102.15675539698
12941,,Existing,095-10-09-12.14-2011,385174.8,1486858.3,4015.58,0,0, ,293.184624308,4015.58252775,624.39453125,115.587441987187
12942,,Existing,095-10-09-12.14-500,385282.88,1486741.47,2378.03,0,0, ,251.968572511,2378.01208913,369.76171875,99.3691006159531
12943,,Existing,095-10-09-12.14-700,385072.27,1486739.14,2897.56,0,0, ,254.871228898,2897.55853854,450.55078125,100.461185256258
12944,,Existing,095-10-09-12.14-800,384973.11,1486731.01,2660.95,0,0, ,222.286424467,2660.95366479,413.7578125,87.6100896029584
12945,,Existing,095-10-09-12.14-2008,384863.43,1486868.97,2649.47,0,0, ,241.823622732,2649.46777814,411.9765625,95.3193710803623
12946,,Existing,095-10-09-12.14-600,385173.38,1486733.02,2501.65,0,0, ,227.322605135,2501.66120757,388.984375,89.6069348623572
12947,,Existing,095-10-09-12.14-900,384864.75,1486731.54,2243.39,0,0, ,210.284636382,2243.39790408,348.828125,82.8643866224934
12948,,Existing,095-10-09-12.14-1100,384969.5,1486567.87,3501.29,0,0, ,285.381838621,3501.29371247,544.4140625,112.534878391906
12949,,Existing,095-10-09-12.14-1300,385267.91,1486577.24,2427.84,0,0, ,216.855356963,2427.84501239,377.50390625,85.4442115465251
12950,,Existing,095-10-09-12.14-1902,385518.21,1486943.38,2514.07,0,0, ,219.082521253,2276.45081902,353.9765625,86.4164767085971
12951,,PossiblyChanged,095-10-09-12.14-1500,385478.86,1486564.52,2284.6,0,0, ,211.394415458,2284.5960251,355.2421875,83.3441754189206
12952,,Existing,095-10-09-01.43-304,384725.04,1490217.39,170.93,0,0, ,49.0109869187,170.929707252,26.5859375,19.3217099577337
12953,,Existing,095-10-09-01.44-100,385474.3,1489920.62,703.58,0,0, ,108.878270801,703.573868973,109.43359375,42.9351925332749
12954,,Existing,095-10-09-01.44-100,385308.99,1489765.27,171.12,0,0, ,52.4877325812,171.122473556,26.61328125,20.6963905005122
12955,,Existing,095-10-09-01.44-100,384975.67,1490276.55,1153.75,0,0, ,138.851285259,1153.76583278,179.44921875,54.7827800441366
12956,,Existing,095-10-09-01.44-100,385247.04,1490353.99,1820.54,0,0, ,180.410199448,1820.53214171,283.15234375,71.1683456413715
12957,,Existing,095-10-09-01.44-100,385234.91,1489802.76,627.07,0,0, ,101.886905377,627.06784378,97.5234375,40.1923565236954
12958,,Existing,095-10-09-01.44-100,385158.46,1489950.02,434.62,0,0, ,87.33241395,434.627359765,67.59765625,34.4211221939638
12959,,Existing,095-10-09-01.41-900,385159.63,1490640.75,177.96,0,0, ,56.9165492792,177.962686329,27.6796875,22.4378016197665
12960,,PossiblyChanged,095-10-09-01.41-700,385394.47,1490583.51,2172.65,0,0, ,217.016270679,2172.64328062,337.92578125,85.6151488002552
12961,,Changed,095-10-09-01.41-6400,385279.28,1490949.29,3186.5,2608.55,22.16, ,266.047618656,3186.49489186,495.6328125,104.958858173736
12962,,Existing,095-10-09-01.41-8000,385139.97,1490641.39,217.2,0,0, ,59.6242087917,217.202856108,33.78515625,23.5219681912402
12963,,Existing,095-10-09-01.41-7500,385022.81,1491153.73,3831.42,0,0, ,300.950887846,3831.41956277,595.953125,118.715969101344
12964,,Existing,095-10-09-01.41-7600,385039.16,1491055.06,2554.9,0,0, ,223.617649244,2554.92400694,397.40625,88.26519410415
12965,,Existing,095-10-09-01.41-7700,385025.63,1490963.19,2372.8,0,0, ,227.504188943,2372.79562844,369.0703125,89.7058049556775
12966,,Existing,095-10-09-01.41-7800,385035.18,1490865.23,2199.16,0,0, ,209.670483887,2199.14997851,342.0625,82.7447427936336
12967,,Existing,095-10-09-01.41-8000,385048.68,1490589.26,3501.27,0,0, ,262.646365823,3501.28918121,544.58984375,103.541828521462
12968,,Existing,095-10-09-01.41-900,385215.09,1490686.03,2885.95,0,0, ,241.465787165,2885.95658062,448.87890625,95.2623255891177
12969,,Existing,095-10-09-01.41-800,385215.92,1490582.96,2836.41,0,0, ,239.294529673,2836.42156659,441.16796875,94.3998752694922
12970,,Existing,095-10-09-01.41-1100,385522.58,1490696.62,2838.38,0,0, ,242.589786698,2838.37752309,441.48046875,95.6349710071381
12971,,Existing,095-10-09-01.41-5300,385499.63,1490840.17,2441.62,0,0, ,212.584505728,2441.62922377,379.77734375,83.7787326529383
12972,,Existing,095-10-09-01.41-5400,385410.59,1490839.33,2352.9,0,0, ,212.517286286,2352.89201674,365.97265625,83.75108724539
12973,,Existing,095-10-09-01.41-6500,385235.5,1490840.44,3491.58,0,0, ,252.51844053,3491.60982492,543.08984375,99.5505677684183
12974,,Existing,095-10-09-01.41-6500,385268.92,1490883.74,200.51,0,0, ,56.9699942234,200.509774898,31.18359375,22.4639592622664
12975,,Existing,095-10-09-01.41-6600,385177.6,1490968.13,2883.48,0,0, ,229.973698832,2883.47721411,448.50390625,90.7505330404074
12976,,Existing,095-10-09-01.41-6300,385305.53,1491036.64,2588.09,0,0, ,234.270714942,2588.08536321,402.55859375,92.4071458719898
12977,,Existing,095-10-09-01.41-6700,385173.95,1491084.43,2663.62,0,0, ,222.736424727,2663.61975518,414.31640625,87.8995633350698
12978,,Existing,095-10-09-01.41-6200,385322.48,1491122.39,2793.55,0,0, ,229.084269542,2793.54243504,434.5234375,90.3500135870877
12979,,Existing,095-10-09-01.41-5600,385452.29,1491036.21,2518.08,0,0, ,217.281574537,2518.09074697,391.66796875,85.7008534103081
12980,,Existing,095-10-09-01.41-5500,385428.43,1490943.24,2542.78,0,0, ,225.559822457,2542.78396033,395.50390625,88.9678036485017
12981,,Existing,095-10-09-01.44-100,385071.42,1490393.34,521.23,0,0, ,95.4502015902,521.23615164,81.07421875,37.6242955668749
12982,,Existing,095-10-09-01.41-600,385529.1,1490574.45,2864.9,0,0, ,236.430606219,2864.89495416,445.59765625,93.2152005247521
12983,,Existing,095-10-09-01.41-1000,385394.47,1490684.01,2724.23,0,0, ,250.390968719,2724.23708679,423.7265625,98.7965121603898
12984,,Existing,095-10-09-01.41-7900,385031.57,1490678.72,165.31,0,0, ,52.2411718569,165.308170342,25.7109375,20.5958790755956
12985,,Existing,095-10-09-01.41-5700,385464.24,1491128.45,2704.38,0,0, ,243.104290581,2704.37473494,420.64453125,95.9150689818228
12986,,Existing,095-10-09-01.41-7900,385074.75,1490749.27,4467.2,0,0, ,342.887524004,4467.18493947,694.828125,135.229009940864
12987,,New,095-10-09-01.42-100,384754.85,1491167.23,252.31,0,0, ,65.5099867715,252.312149701,39.2421875,25.8493362709341
12988,,Changed,095-10-09-01.41-6100,385335.58,1491205.82,2903.16,2683.66,8.18, ,257.828859498,2903.16055007,451.578125,101.665944211238
12989,,Existing,095-10-09-01.41-5900,385352.27,1491517.79,159.7,0,0, ,51.8969776192,159.702352114,24.84375,20.4774004414079
12990,,Existing,095-10-09-01.41-5800,385487.33,1491212.04,2659.46,0,0, ,241.75117786,2659.45377788,413.6640625,95.3748291925875
