,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
6939,1586.0,1704.0,1812.0,1906.0,2376.5,2987.0,3151.5,3323.0,3365.5,2902.0,2513.0
6940,1528.0,1683.0,1819.0,1950.5,2259.5,3023.0,3330.0,3926.0,3675.5,3000.0,2409.0
6941,1528.0,1556.0,1643.0,1748.0,2077.5,2777.0,3172.5,2683.5,3282.5,2822.5,2270.5
6942,1497.0,1822.0,1921.0,1989.0,2538.5,2961.5,3159.5,2855.5,3412.0,3072.0,2583.0
6943,1497.0,1859.5,1908.0,2108.0,2568.0,3112.5,3396.5,3573.5,3497.0,3266.5,2662.0
6944,1450.0,1386.0,1448.5,1562.5,1775.5,2131.0,2300.0,2448.0,2529.0,2664.0,2095.0
6945,1450.0,1432.5,1488.0,1599.0,1870.5,2144.5,2278.5,2369.5,2531.5,2705.5,2175.5
6946,1467.5,1632.0,1748.0,1787.5,1870.0,1947.5,2027.5,2341.0,2160.0,2335.0,2051.5
6947,1467.5,1529.5,1610.5,1774.5,1812.0,1968.0,2085.0,2370.5,2178.5,2282.0,2037.5
6948,1459.0,1786.0,1956.0,2034.5,1975.0,2521.5,2760.5,2859.0,2893.0,2521.5,2176.0
6949,1459.0,1686.0,1958.5,2105.0,2354.0,3266.0,3650.5,4319.0,3946.0,3063.0,2389.0
6950,1358.0,1588.0,1755.5,1830.0,2125.5,2641.5,2901.0,3336.5,3218.5,3068.5,2489.0
6951,1358.0,1446.0,1564.0,1670.0,2035.0,2430.0,2716.0,2816.5,2917.0,3020.0,2407.5
6952,1325.5,1391.5,1504.0,1600.0,1847.0,2114.5,2244.5,2488.0,2511.0,2694.0,2252.0
6953,1325.5,1416.0,1478.0,1642.5,1856.5,2117.5,2277.0,2475.5,2571.5,2581.5,2192.5
6954,1641.0,1433.5,1509.0,1605.0,2004.0,2363.0,2456.5,2489.5,2675.0,2901.5,2503.0
6955,1641.0,2426.0,2758.5,3014.0,2932.5,2897.5,2972.0,3323.5,3136.0,3311.0,3052.5
6956,1939.5,2846.0,3197.0,3553.0,3682.0,3776.0,3747.0,3964.0,3832.5,3720.5,3441.5
6957,1939.5,2676.0,3003.5,3101.5,2980.0,3072.5,2960.0,3211.5,3201.0,3126.0,2746.5
6958,1708.0,1585.5,1822.0,1945.5,2059.0,2394.0,2459.5,2797.5,2644.5,2755.5,2416.0
6959,1708.0,1675.5,1753.5,1792.0,1982.0,2074.5,2067.5,2266.0,2251.5,2414.0,2259.0
6960,1518.0,1464.5,1510.5,1525.0,1758.5,2151.5,2157.0,2384.0,2329.5,2151.0,1843.0
6961,1518.0,1784.5,1784.0,1974.5,1830.0,1922.5,2183.5,2248.5,2109.5,2281.5,2073.0
6962,1667.5,1587.0,1619.0,1870.5,2219.5,2419.0,2672.0,2904.0,2994.0,2931.0,2509.0
6963,1667.5,2420.0,2461.0,2569.0,2603.0,2869.5,3104.5,3372.0,3407.5,3150.5,2678.5
6964,1767.0,2172.0,2215.0,2414.0,2390.0,2604.0,2625.0,3013.5,2807.5,2757.5,2441.5
6965,1767.0,2013.5,2198.0,2356.0,2374.0,2582.5,2671.5,2945.5,2884.0,3018.5,2716.5
6966,1517.5,1387.0,1507.5,1592.0,1936.5,2448.0,2663.5,2602.0,2895.5,2707.0,2215.5
6967,1517.5,1510.5,1671.5,1730.0,1902.5,2354.5,2462.5,2871.5,2634.5,2556.0,2052.0
6968,1460.5,1489.0,1630.0,1729.0,2261.5,2740.5,2905.5,2869.5,3200.5,2777.5,2304.0
6969,1460.5,1739.0,1897.0,2101.0,2238.5,2696.0,2810.0,3339.5,3268.0,2949.5,2401.0
6970,1542.0,1655.5,1794.5,1924.0,2344.5,2774.5,3047.0,3138.5,3267.5,3083.5,2539.0
6971,1542.0,1881.0,1980.5,2198.5,2319.5,2835.5,2924.5,3124.0,3258.0,2983.0,2502.5
6972,1527.5,1815.5,1987.0,2083.5,2240.5,2967.0,3099.0,3719.0,3321.0,2732.5,2234.0
6973,1527.5,1484.0,1595.0,1723.0,1841.0,2310.5,2524.5,2616.5,2670.5,2296.5,1880.5
6974,1475.0,1564.0,1820.0,1952.0,2145.0,2577.0,2883.0,3370.0,2996.5,2528.5,2201.5
6975,1475.0,1638.0,1770.5,1897.0,2001.0,2304.0,2433.0,2811.5,2576.5,2483.0,2122.5
6976,1516.0,1647.5,1736.5,1784.0,2040.5,2490.0,2693.5,2752.0,2815.5,2433.5,2106.0
6977,1516.0,1796.0,1940.0,1990.0,2083.0,2780.5,3078.0,3611.5,3235.0,2566.0,2122.0
6978,1595.0,1588.0,1756.5,1831.0,2189.5,2701.5,3067.0,3706.5,3233.0,2746.0,2270.5
6979,1595.0,1715.5,1772.5,1822.5,1949.5,2334.0,2439.5,2701.5,2610.0,2621.5,2283.0
6980,1556.5,1754.5,2025.5,2078.0,2313.5,2790.0,2910.5,4023.5,3122.5,2776.5,2366.0
6981,1556.5,1837.5,1898.5,1999.0,2190.0,2532.0,2696.5,2849.0,2956.0,2604.5,2273.0
6982,1491.0,1592.0,1811.5,1883.5,2350.5,2813.0,3114.0,3587.5,3241.5,2526.0,2199.5
6983,1491.0,2032.0,2145.0,2265.0,2379.5,2798.5,3101.0,3092.5,3249.0,2985.5,2612.0
6984,1574.0,1616.5,1831.5,2046.0,2518.0,3074.5,3337.0,3160.0,3557.0,3154.5,2531.0
6985,1574.0,1978.0,2163.0,2295.5,2709.5,3185.0,3284.0,3474.5,3591.5,3160.5,2697.5
6986,1627.5,1624.0,1742.5,1767.0,2126.0,2731.5,3012.5,3293.0,3094.5,2633.5,2244.5
6987,1627.5,1869.5,2065.0,2142.0,2027.5,2225.5,2427.0,2927.0,2568.0,2408.0,2108.0
6988,1693.0,2104.0,2220.0,2387.0,2489.0,2780.5,2761.5,2982.0,3007.5,2891.0,2694.5
6989,1693.0,2161.0,2414.0,2563.0,2689.5,2812.5,2856.5,2854.0,2900.5,2800.0,2594.0
6990,1847.5,1527.0,1639.0,1724.5,2294.5,2409.0,2506.5,2234.5,2609.0,2825.0,2469.5
6991,1847.5,3100.5,3288.0,3489.5,3248.5,3303.0,3319.0,3755.5,3418.5,3437.5,3122.5
6992,1710.0,1814.0,1934.0,2043.0,2060.5,2158.5,2366.0,2819.5,2488.0,2423.0,2254.5
6993,1710.0,1487.5,1562.5,1717.5,1967.5,2180.0,2253.0,2471.5,2444.0,2629.0,2322.5
6994,1497.5,1508.0,1716.5,1847.0,2132.5,2663.0,2913.5,3999.0,3121.0,2660.5,2168.0
6995,1497.5,1952.0,2129.0,2217.0,1956.0,2204.5,2136.5,2507.0,2364.0,2361.0,2155.0
6996,1513.5,1627.5,1776.5,1832.5,2190.0,3105.5,3466.0,3610.0,3635.0,2695.5,2191.0
6997,1513.5,1731.5,1757.0,1907.5,2285.5,2959.5,3156.5,3110.5,3367.0,2779.5,2288.0
6998,1485.5,1684.0,1820.0,1958.5,2205.0,2622.0,3034.5,2994.0,3142.0,2750.5,2502.5
6999,1485.5,1536.0,1635.0,1653.0,1985.5,2400.5,2497.0,2306.5,2806.5,2548.5,2305.0
7000,1397.5,1668.0,1811.0,1918.0,2073.0,2520.0,2609.5,3031.5,2909.0,2516.0,2204.0
7001,1397.5,1426.0,1482.0,1471.5,1723.0,1996.0,2093.5,2264.0,2289.0,2355.0,2041.0
7002,1385.5,1458.5,1581.0,1764.0,2106.5,2450.0,2751.0,2886.5,3011.5,3032.5,2466.5
7003,1385.5,1440.0,1521.5,1515.5,1816.0,2195.0,2300.5,2231.0,2524.5,2706.5,2289.5
7004,1478.0,1443.5,1524.5,1636.5,2057.0,2519.0,2686.0,2509.0,2858.5,2792.5,2422.5
7005,1478.0,1694.5,1935.0,1873.0,2203.5,2882.0,3162.0,3767.0,3247.0,2528.0,2183.5
7006,1548.5,1535.0,1679.0,1670.0,1880.0,2251.5,2583.0,3239.0,2640.5,2314.0,1986.5
7007,1548.5,1769.0,1770.5,1816.0,2021.5,2166.5,2327.5,2415.5,2479.0,2750.5,2348.0
7008,1681.0,2357.0,2475.0,2561.0,2562.5,2663.5,2714.5,2791.0,2760.0,2959.0,2919.0
7009,1681.0,2193.0,2229.5,2385.0,2442.0,2535.0,2596.0,2685.5,2580.0,2668.0,2564.5
7010,1613.5,2375.0,2493.0,2575.0,2633.0,2681.0,2617.0,2746.0,2733.0,3307.0,3353.0
7011,1613.5,2010.0,2214.0,2304.0,2302.0,2436.5,2532.5,2843.0,2585.5,2907.0,2743.0
7012,1447.5,1637.0,1765.0,1915.5,2155.5,2452.0,2564.5,2849.5,2738.0,2880.0,2481.5
