,Longitude,Latitude,Natural Elevation
416,-74.235,40.527,60.796
417,-74.235,40.528,72.1225
418,-74.235,40.529,79.849
419,-74.235,40.533,69.813
420,-74.235,40.534,63.964
421,-74.235,40.537,93.819
422,-74.235,40.538,93.977
423,-74.235,40.539,79.358
424,-74.235,40.549,0.0
425,-74.234,40.501,14.359
426,-74.234,40.502,14.4845
427,-74.234,40.503,14.088999999999999
428,-74.234,40.507,38.998
429,-74.234,40.508,42.811
430,-74.234,40.509,46.903
431,-74.234,40.51,48.671
432,-74.234,40.511,49.662
433,-74.234,40.512,43.319
434,-74.234,40.513,40.346999999999994
435,-74.234,40.514,36.811
436,-74.234,40.515,29.806
437,-74.234,40.516,26.063
438,-74.234,40.517,18.362
439,-74.234,40.518,16.73
440,-74.234,40.521,18.4435
441,-74.234,40.522,21.476
442,-74.234,40.523,27.433
443,-74.234,40.524,33.2205
444,-74.234,40.527,70.883
445,-74.234,40.534,80.631
446,-74.234,40.537,93.295
447,-74.234,40.538,86.0655
448,-74.234,40.539,75.085
449,-74.233,40.502,6.4225
450,-74.233,40.504,17.576
451,-74.233,40.506,27.352
452,-74.233,40.507,31.475
453,-74.233,40.508,41.1415
454,-74.233,40.509,45.1095
455,-74.233,40.51,49.28
456,-74.233,40.511,51.269
457,-74.233,40.512,51.141999999999996
458,-74.233,40.513,0.0
459,-74.233,40.514,34.012
460,-74.233,40.515,28.7425
461,-74.233,40.516,23.4015
462,-74.233,40.517,20.214
463,-74.233,40.518,19.2125
464,-74.233,40.521,12.528
465,-74.233,40.522,21.0285
466,-74.233,40.523,27.074
467,-74.233,40.524,32.282
468,-74.233,40.525,42.9965
469,-74.233,40.527,95.953
470,-74.233,40.529,95.213
471,-74.233,40.534,0.0
472,-74.233,40.537,81.672
473,-74.233,40.538,77.2245
474,-74.233,40.539,68.5865
475,-74.233,40.543,28.9955
476,-74.233,40.544,59.9755
477,-74.233,40.549,0.0
478,-74.232,40.502,5.7725
479,-74.232,40.503,16.1915
480,-74.232,40.504,21.243000000000002
481,-74.232,40.505,28.240499999999997
482,-74.232,40.506,33.362
483,-74.232,40.507,34.527
484,-74.232,40.508,40.169
485,-74.232,40.509,46.333
486,-74.232,40.51,25.7225
487,-74.232,40.511,53.38
488,-74.232,40.512,49.288
489,-74.232,40.513,41.295
490,-74.232,40.514,35.803
491,-74.232,40.517,21.906
492,-74.232,40.518,12.727
493,-74.232,40.521,15.438
494,-74.232,40.522,0.0
495,-74.232,40.527,96.65
496,-74.232,40.53,108.026
497,-74.232,40.538,73.619
498,-74.232,40.539,57.414500000000004
499,-74.232,40.543,0.0
500,-74.232,40.544,63.84
501,-74.232,40.546,48.285
502,-74.231,40.502,13.934
503,-74.231,40.503,16.052
504,-74.231,40.504,19.611
505,-74.231,40.505,24.605
506,-74.231,40.506,40.109
507,-74.231,40.507,38.076
508,-74.231,40.509,47.2975
509,-74.231,40.511,56.9875
510,-74.231,40.512,50.406
511,-74.231,40.516,24.852
512,-74.231,40.517,28.658
513,-74.231,40.518,16.7425
514,-74.231,40.519,10.206
515,-74.231,40.521,0.0
516,-74.231,40.523,47.87
517,-74.231,40.527,48.647
518,-74.231,40.531,110.83500000000001
519,-74.231,40.536,0.0
